2015-09-15 16:24:52,234 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:24:52,236 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-15 16:24:52,237 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:24:52,238 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ken/Downloads/dev/ws/OA/3. implementtation/prototype_ws/mavenweb/src/test/resources
2015-09-15 16:25:32,125 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:25:32,127 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-15 16:25:32,128 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:25:32,129 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ken/Downloads/dev/ws/OA/3. implementtation/prototype_ws/mavenweb/src/test/resources
2015-09-15 16:25:41,855 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:25:41,856 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-15 16:25:41,856 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:25:41,857 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ken/Downloads/dev/ws/OA/3. implementtation/prototype_ws/mavenweb/src/test/resources
2015-09-15 16:25:54,736 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:25:54,737 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-15 16:25:54,739 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:25:54,739 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ken/Downloads/dev/ws/OA/3. implementtation/prototype_ws/mavenweb/src/test/resources
2015-09-15 16:26:07,078 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:26:07,080 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-15 16:26:07,081 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-15 16:26:07,081 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ken/Downloads/dev/ws/OA/3. implementtation/prototype_ws/mavenweb/src/test/resources
2015-09-16 00:55:36,647 [Worker-86] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.edu.ken.mavenweb:mavenweb:0.0.1-SNAPSHOT @ /Users/ken/Downloads/dev/ws/OA/3. implementtation/prototype_ws/mavenweb/pom.xml.
2015-09-16 00:55:37,090 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-16 00:55:37,091 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-09-16 00:55:37,092 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-16 00:55:37,093 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/ken/Downloads/dev/ws/OA/3. implementtation/prototype_ws/mavenweb/src/test/resources
2015-09-16 00:55:37,093 [Worker-86] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of mavenweb
2015-09-16 00:55:37,094 [Worker-86] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for mavenweb
2015-09-16 00:55:37,135 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-16 00:55:41,320 [Worker-86] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: cn.edu.ken.mavenweb:mavenweb:0.0.1-SNAPSHOT @ /Users/ken/Downloads/dev/ws/OA/3. implementtation/prototype_ws/mavenweb/pom.xml.
2015-09-16 00:55:41,491 [Worker-86] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (EUC_CN actually) to copy filtered resources, i.e. build is platform dependent!
2015-09-16 00:55:41,492 [Worker-86] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
